
City	FAA	IATA	ICAO	Airport	Role	Enplanements
Sioux Falls	FSD	FSD	KFSD	Sioux Falls Regional Airport (Joe Foss Field)	P-N	355,939
TENNESSEE						
Bristol / Johnson City / Kingsport	TRI	TRI	KTRI	Tri-Cities Regional Airport (Tri-Cities Regional TN/VA)	P-N	202,114
Chattanooga	CHA	CHA	KCHA	Chattanooga Metropolitan Airport (Lovell Field)	P-N	292,830
Knoxville	TYS	TYS	KTYS	McGhee Tyson Airport	P-S	804,917
Memphis	MEM	MEM	KMEM	Memphis International Airport	P-M	4,930,935
Nashville	BNA	BNA	KBNA	Nashville International Airport (Berry Field)	P-M	4,432,527
TEXAS						
Abilene	ABI	ABI	KABI	Abilene Regional Airport	P-N	73,605
Amarillo	AMA	AMA	KAMA	Rick Husband Amarillo International Airport	P-S	394,593
Austin	AUS	AUS	KAUS	Austin-Bergstrom International Airport	P-M	4,201,136
Beaumont / Port Arthur	BPT	BPT	KBPT	Jack Brooks Regional Airport (was Southeast Texas Regional)	P-N	17,394
Brownsville	BRO	BRO	KBRO	Brownsville/South Padre Island International Airport	P-N	84,401
College Station	CLL	CLL	KCLL	Easterwood Airport (Easterwood Field)	P-N	72,188
Corpus Christi / Kingsville	CRP	CRP	KCRP	Corpus Christi International Airport	P-S	339,193
Dallas	DAL	DAL	KDAL	Dallas Love Field	P-M	3,783,407
Dallas-Fort Worth	DFW	DFW	KDFW	Dallas/Fort Worth International Airport	P-L	27,100,656
Del Rio	DRT	DRT	KDRT	Del Rio International Airport	P-N	13,180
El Paso	ELP	ELP	KELP	El Paso International Airport	P-S	1,509,093
